"receivedTime","magnitude"
"2016-04-09 14:25:59",638
"2016-04-09 14:25:59",638
"2016-04-09 14:25:59",644
"2016-04-09 14:25:59",650
"2016-04-09 14:25:59",654
"2016-04-09 14:25:59",655
"2016-04-09 14:25:59",660
"2016-04-09 14:26:00",663
"2016-04-09 14:26:00",659
"2016-04-09 14:26:00",660
"2016-04-09 14:26:00",666
"2016-04-09 14:26:00",663
"2016-04-09 14:26:00",656
"2016-04-09 14:26:00",650
"2016-04-09 14:26:00",645
"2016-04-09 14:26:00",645
"2016-04-09 14:26:00",652
"2016-04-09 14:26:00",655
"2016-04-09 14:26:00",655
"2016-04-09 14:26:00",661
"2016-04-09 14:26:00",665
"2016-04-09 14:26:00",670
"2016-04-09 14:26:00",677
"2016-04-09 14:26:00",680
"2016-04-09 14:26:00",680
"2016-04-09 14:26:00",680
"2016-04-09 14:26:00",678
"2016-04-09 14:26:00",677
"2016-04-09 14:26:00",677
"2016-04-09 14:26:00",681
"2016-04-09 14:26:00",687
"2016-04-09 14:26:00",688
"2016-04-09 14:26:00",684
"2016-04-09 14:26:00",671
"2016-04-09 14:26:00",661
"2016-04-09 14:26:00",657
"2016-04-09 14:26:00",646
"2016-04-09 14:26:00",634
"2016-04-09 14:26:00",633
"2016-04-09 14:26:00",632
"2016-04-09 14:26:00",624
"2016-04-09 14:26:00",626
"2016-04-09 14:26:00",635
