,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,accelerationAvg,accelerationDev,classifier
285,13910,32.59,0.03,0,2745,2016-04-09 15:48:15,649.7714285714,4.4620241891,2
286,13911,32.59,0.02,0,2082,2016-04-09 15:48:16,651.1818181818,1.5026148008,2
287,13912,32.56,0.02,0,1374,2016-04-09 15:48:16,650.8363636364,0.8896094417,2
288,13913,32.61,0.02,0,1374,2016-04-09 15:48:17,651.1818181818,1.3696835612,2
289,13914,32.61,0.02,0,1374,2016-04-09 15:48:17,650.1136363636,0.6814392887,2
290,13915,32.39,0.89,0,12,2016-04-09 15:50:43,648.4444444444,31.6459971529,1
291,13916,32.39,1.15,0,12,2016-04-09 15:50:43,654.0277777778,22.1277680141,1
292,13917,32.39,1.07,0,147,2016-04-09 15:50:43,648.5833333333,27.0917935504,1
293,13918,32.41,1.25,0,147,2016-04-09 15:50:43,659.4444444444,25.3557405778,1
294,13919,32.41,1.13,0,147,2016-04-09 15:50:44,659.6071428571,17.7619965209,1
295,13920,32.39,0.95,0,147,2016-04-09 15:50:44,659.9107142857,18.1563416565,1
296,13921,32.39,0.66,0,1215,2016-04-09 15:50:45,655.625,18.3396160771,1
297,13922,32.4,0.63,0,2550,2016-04-09 15:50:47,650.3285714286,13.6797257999,1
298,13923,32.39,0.66,0,2550,2016-04-09 15:50:47,657.0985915493,13.1204119327,1
299,13924,32.41,0.71,0,3099,2016-04-09 15:50:49,649.4347826087,21.4968674906,1
300,13925,32.41,0.71,0,3099,2016-04-09 15:50:49,654.152173913,18.4779155978,1
301,13926,32.41,0.74,0,3408,2016-04-09 15:50:49,650.4130434783,20.3614897454,1
302,13927,32.41,0.78,0,3408,2016-04-09 15:50:50,650.36,19.415210532,1
303,13928,32.41,0.77,0,3408,2016-04-09 15:50:50,649.08,25.8316395144,1
304,13929,32.41,0.78,0,3408,2016-04-09 15:50:50,655.72,16.4912582904,1
305,13930,32.41,0.8,0,3492,2016-04-09 15:50:50,648.08,26.6141616438,1
306,13931,32.41,0.82,0,3492,2016-04-09 15:50:50,659.52,20.4746086654,1
307,13932,32.41,0.81,0,3492,2016-04-09 15:50:51,648.5111111111,16.3511769501,1
308,13933,32.41,0.79,0,3558,2016-04-09 15:50:51,663.0444444444,21.1470571166,1
309,13934,32.41,0.82,0,3558,2016-04-09 15:50:51,654.652173913,19.5439497936,1
310,13935,32.41,0.87,0,3651,2016-04-09 15:50:53,651.0428571429,26.4820347267,1
311,13936,32.41,0.85,0,3762,2016-04-09 15:50:53,659.5915492958,21.9099163766,1
312,13937,32.41,0.87,0,3816,2016-04-09 15:50:55,662.1428571429,30.584910245,1
313,13938,32.41,0.86,0,3816,2016-04-09 15:50:55,641.3142857143,20.2467230909,1
314,13939,32.41,0.86,0,3816,2016-04-09 15:50:55,661.6,15.96818265,1
315,13940,32.41,0.85,0,3900,2016-04-09 15:50:55,655.2777777778,24.665102553,1
316,13941,32.41,0.86,0,3900,2016-04-09 15:50:56,653,19.1874959283,1
317,13942,32.41,0.81,0,3900,2016-04-09 15:50:56,625.44,110.2731445094,1
318,13943,32.41,0.73,0,4032,2016-04-09 15:50:56,626.8367346939,122.591631192,1
319,13944,32.41,0.83,0,4032,2016-04-09 15:50:57,655.2222222222,75.422186211,1
320,13945,32.41,0.82,0,3987,2016-04-09 15:50:57,644.0555555556,23.644290413,1
321,13946,32.41,0.84,0,3987,2016-04-09 15:50:57,641.1111111111,15.514827635,1
322,13947,32.41,0.8,0,3987,2016-04-09 15:50:57,644.25,19.3539760486,1
323,13948,32.41,0.8,0,3987,2016-04-09 15:50:58,653.9863945578,19.6655665764,1
324,13949,32.45,0.85,0,3987,2016-04-09 15:50:59,650.9066666667,19.6690439241,1
325,13950,32.47,0.84,0,4065,2016-04-09 15:51:00,654.954887218,21.6287418986,1
326,13951,32.49,0.84,0,3978,2016-04-09 15:51:01,655.7733333333,17.9555550055,1
