"receivedTime";"magnitude1";"magnitude2"
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;619
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:06";531;620
"2016-04-12 13:18:07";531;620
"2016-04-12 13:18:07";531;620
"2016-04-12 13:18:07";531;620
"2016-04-12 13:18:07";531;620
"2016-04-12 13:18:07";531;620
"2016-04-12 13:18:07";530;620
"2016-04-12 13:18:07";530;620
"2016-04-12 13:18:07";530;620
"2016-04-12 13:18:07";530;620
"2016-04-12 13:18:07";530;621
"2016-04-12 13:18:07";530;621
"2016-04-12 13:18:07";530;621
"2016-04-12 13:18:07";530;620
"2016-04-12 13:18:07";530;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;620
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;621
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;622
"2016-04-12 13:18:07";529;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;622
"2016-04-12 13:18:07";530;623
"2016-04-12 13:18:07";530;622
"2016-04-12 13:18:07";530;622
"2016-04-12 13:18:07";531;622
"2016-04-12 13:18:07";531;622
"2016-04-12 13:18:07";531;622
"2016-04-12 13:18:07";531;622
"2016-04-12 13:18:07";531;622
"2016-04-12 13:18:07";531;622
"2016-04-12 13:18:07";532;621
"2016-04-12 13:18:07";533;621
