,vibration
2845,676
2846,667
2847,662
2848,661
2849,659
2850,657
2851,657
2852,660
2853,664
2854,667
2855,670
2856,682
2857,696
2858,699
2859,692
2860,691
2861,689
2862,676
2863,666
2864,673
2865,683
2866,681
2867,672
2868,693
2869,702
2870,704
2871,705
2872,705
2873,703
2874,696
2875,687
2876,680
2877,681
2878,683
2879,676
2880,666
2881,667
2882,673
2883,671
2884,671
2885,679
2886,682
2887,675
2888,666
2889,664
2890,663
2891,665
2892,663
2893,653
2894,648
2895,655
2896,662
2897,667
2898,678
2899,693
2900,698
2901,696
2902,692
2903,690
2904,694
2905,694
2906,685
2907,679
2908,680
2909,680
2910,678
2911,680
2912,686
2913,694
2914,699
2915,697
2916,693
2917,698
2918,634
2919,640
2920,642
2921,644
2922,650
2923,658
2924,669
2925,677
2926,685
2927,694
2928,702
2929,703
2930,701
2931,701
2932,701
2933,694
2934,683
2935,673
2936,666
2937,666
2938,669
2939,670
2940,670
2941,675
2942,678
2943,675
2944,671
2945,675
2946,684
2947,687
2948,684
2949,680
2950,677
2951,677
2952,677
2953,678
2954,680
2955,681
2956,679
2957,675
2958,672
2959,674
2960,681
2961,687
2962,687
2963,686
2964,685
2965,679
2966,672
2967,672
2968,661
2969,669
2970,674
2971,681
2972,690
2973,695
2974,694
2975,691
2976,695
2977,699
2978,695
2979,689
2980,693
2981,697
2982,691
2983,685
2984,686
2985,687
2986,684
2987,680
2988,679
2989,679
2990,682
2991,684
2992,683
