,vibration
2733,680
2734,684
2735,683
2736,678
2737,672
2738,668
2739,659
2740,648
2741,637
2742,629
2743,624
2744,626
2745,632
2746,633
2747,636
2748,647
2749,668
2750,686
2751,692
2752,696
2753,703
2754,713
2755,723
2756,722
2757,712
2758,705
2759,651
2760,662
2761,664
2762,664
2763,671
2764,676
2765,674
2766,673
2767,669
2768,658
2769,647
2770,643
2771,638
2772,629
2773,618
2774,615
2775,621
2776,629
2777,637
2778,648
2779,658
2780,667
2781,679
2782,692
2783,700
2784,698
2785,700
2786,707
2787,712
2788,711
2789,703
2790,693
2791,687
2792,684
2793,682
2794,678
2795,672
2796,665
2797,666
2798,669
2799,667
2800,661
2801,661
2802,670
2803,677
2804,679
2805,682
2806,686
2807,691
2808,701
2809,679
2810,683
2811,688
2812,683
2813,675
2814,675
2815,687
2816,696
2817,692
2818,686
2819,688
2820,693
2821,698
2822,701
2823,699
2824,690
2825,681
2826,676
2827,676
2828,672
2829,655
2830,642
2831,647
2832,659
2833,665
2834,661
2835,657
2836,665
2837,681
2838,690
2839,686
2840,681
2841,692
2842,713
2843,723
2844,718
2845,709
2846,703
2847,703
2848,706
2849,699
2850,683
2851,674
2852,674
2853,668
2854,654
2855,642
2856,639
2857,641
2858,646
2859,707
2860,697
2861,689
2862,693
2863,698
2864,692
2865,682
2866,678
2867,687
2868,699
2869,698
2870,682
2871,670
2872,674
2873,683
2874,679
2875,665
2876,659
2877,669
2878,682
2879,685
2880,679
2881,676
2882,686
2883,702
2884,709
2885,703
2886,700
2887,703
2888,702
2889,696
2890,683
2891,662
2892,646
2893,648
2894,655
2895,658
2896,661
2897,673
2898,679
2899,681
2900,681
2901,679
2902,672
2903,659
2904,648
2905,645
2906,648
2907,649
2908,641
2909,680
2910,690
2911,697
2912,698
2913,696
2914,697
2915,699
2916,699
2917,693
2918,687
2919,684
2920,682
2921,681
2922,675
2923,667
2924,661
2925,656
2926,650
2927,650
2928,653
2929,654
2930,652
2931,652
2932,660
2933,670
2934,673
2935,670
2936,668
2937,672
2938,679
2939,686
2940,689
2941,689
2942,692
2943,698
2944,699
2945,695
2946,692
2947,691
2948,688
2949,688
2950,691
2951,693
2952,693
2953,694
2954,698
2955,697
2956,688
2957,682
2958,679
2959,676
2960,666
2961,655
2962,646
2963,643
2964,644
2965,645
2966,644
2967,636
2968,625
2969,622
2970,627
2971,629
2972,624
2973,624
2974,638
2975,656
2976,663
2977,662
2978,665
2979,678
2980,692
2981,696
2982,695
2983,701
2984,711
2985,717
2986,711
2987,697
2988,682
2989,673
2990,668
2991,665
2992,661
